,tweet_favorite,tweet_id,tweet_retweet,user_favorite,user_follower,user_friend,user_id,user_mention_favorite,user_mention_follower,user_mention_friend,user_mention_id,user_mention_screen_name,user_mention_statuses,user_screen_name,user_statuses
726,0,771547878447656960,0,318,60,237,744091165725601792,N/A,N/A,N/A,4898022749,MCPE1Community,N/A,YoutubeTDMMOS,142
727,0,771547873355804673,0,11381,500,1018,3293458968,N/A,N/A,N/A,10228272,YouTube,N/A,wendygetta777,7351
728,3,771547866003156992,0,10805,445,99,2268247454,N/A,N/A,N/A,N/A,N/A,N/A,rasutoorder7,39313
729,0,771547828367691776,0,36,193,258,2704448989,N/A,N/A,N/A,10228272,YouTube,N/A,RisingEdge9926,3570
730,2,771547828216672257,0,437,1593,990,868653205,N/A,N/A,N/A,N/A,N/A,N/A,PalasAteneaNike,35327
731,1,771547784872759296,0,5951,146,338,572206122,N/A,N/A,N/A,10228272,YouTube,N/A,AlejoCMFCOL,1710
732,0,771547782352019458,0,6542,1732,229,2257000604,N/A,N/A,N/A,10228272,YouTube,N/A,MaalfoyZ,34362
733,0,771547765759352832,0,35,391,809,1289137933,N/A,N/A,N/A,10228272,YouTube,N/A,total231,1294
734,0,771547755974004736,0,1922,1774,135,2274710862,N/A,N/A,N/A,N/A,N/A,N/A,Skippy6Gaming,3021
735,0,771547741302304768,0,4017,246,975,420049112,N/A,N/A,N/A,10228272,YouTube,N/A,JDhartshorn,4463
736,0,771547727922470912,0,21,13,37,2561820627,N/A,N/A,N/A,10228272,YouTube,N/A,SharmeenJoseph,481
737,0,771547727788331009,0,32289,196,95,4395147989,N/A,N/A,N/A,10228272,YouTube,N/A,Bo7Benizio,8527
738,0,771547724403445760,0,2,3,15,768303222318469121,N/A,N/A,N/A,10228272,YouTube,N/A,ArcanePhysics,10
739,0,771547723921186822,103,0,9,52,771537088076320771,N/A,N/A,N/A,3300594994,YouTubeGaming,N/A,fcknrizo,3
740,0,771547708033110016,1,5621,201,692,4097285464,N/A,N/A,N/A,72101890,BigBullet11990,N/A,markie12_mark,975
741,0,771547707051696128,0,0,5,2,2950071790,N/A,N/A,N/A,10228272,YouTube,N/A,playkenedy,1158
742,0,771547700026236928,47,7777,211,262,2927550914,N/A,N/A,N/A,1853845963,58_gopper,N/A,spica_yuri,24779
743,0,771547699929686016,0,594,757,1825,4635567376,N/A,N/A,N/A,10228272,YouTube,N/A,kougardeathreap,4685
744,0,771547644590030848,0,1,9,42,4795975036,N/A,N/A,N/A,10228272,YouTube,N/A,MicroStyl1,91
745,0,771547636889300993,1,1335,58,172,760544132444065792,N/A,N/A,N/A,3241642078,MinecrafteBay,N/A,awesomewolf87,1533
746,0,771547632472764420,144,16174,963,947,1539898903,N/A,N/A,N/A,705740490348634112,luxIife,N/A,bryant987654321,27330
747,0,771547601975910400,0,7,250,280,298787620,N/A,N/A,N/A,10228272,YouTube,N/A,laura_dfm,1183
748,1,771547590613577729,1,0,136,185,3241642078,N/A,N/A,N/A,N/A,N/A,N/A,MinecrafteBay,23707
749,0,771547581096693760,0,11,9,159,913942651,N/A,N/A,N/A,N/A,N/A,N/A,novias2011,487
750,0,771547572682887168,1,592,784,839,3833798420,N/A,N/A,N/A,N/A,N/A,N/A,RedyGlare_,3330
751,0,771547569444888577,0,3,96,100,3122762678,N/A,N/A,N/A,N/A,N/A,N/A,Mc_Daifukupizza,2704
752,0,771547567058411520,0,5,1,5,2588599316,N/A,N/A,N/A,10228272,YouTube,N/A,vn_jen,11
753,0,771547552671866881,9,60,3,22,761410043568947200,N/A,N/A,N/A,771510349522726912,SimpleAlts,N/A,NinjaSplitz,47
754,0,771547540688809984,0,15975,609,704,238631319,N/A,N/A,N/A,N/A,N/A,N/A,YayuasftRuben,23213
755,0,771547525916479492,0,1135,86,95,4631069533,N/A,N/A,N/A,1935843770,coyomi_43,N/A,miso_minecraft,3225
756,0,771547524804915200,0,25,224,212,734691443621695488,N/A,N/A,N/A,N/A,N/A,N/A,the4_gamer,1812
757,0,771547524029046785,0,1317,23,118,3765435747,N/A,N/A,N/A,10228272,YouTube,N/A,ZPablobeys24,2466
758,0,771547515078320128,4,135,22,30,770752149126918144,N/A,N/A,N/A,164719714,Albi_SideArms,N/A,Littlesmiley8,40
759,0,771547514818269184,0,1515,141,107,700818461321134080,N/A,N/A,N/A,N/A,N/A,N/A,ava_replayer,4118
760,0,771547505632751616,54,41,40,78,707364864042205184,N/A,N/A,N/A,2788714326,AsianWiz,N/A,Tamilz_,363
761,0,771547504886157312,0,197,73,146,3310072443,N/A,N/A,N/A,10228272,YouTube,N/A,Di_Gamer_Br,2926
762,0,771547503904686080,0,158,152,120,2760944309,N/A,N/A,N/A,10228272,YouTube,N/A,FiendishBreadHD,426
763,0,771547502109601793,0,11381,500,1018,3293458968,N/A,N/A,N/A,10228272,YouTube,N/A,wendygetta777,7351
764,0,771547492408135680,0,0,57,75,756440813815508992,N/A,N/A,N/A,N/A,N/A,N/A,pokemon_go_vid,1946
